,Date,Temperature,,,
672,2006-01-01 00:00:00+00:00,0.6,,,
673,2006-01-01 01:00:00+00:00,1.2,,,
674,2006-01-01 02:00:00+00:00,1.7,,,
675,2006-01-01 03:00:00+00:00,1.7,,,
676,2006-01-01 04:00:00+00:00,1.2,,,
677,2006-01-01 05:00:00+00:00,1.2,,,
678,2006-01-01 06:00:00+00:00,2.2,,,
679,2006-01-01 07:00:00+00:00,2.1,,,
680,2006-01-01 08:00:00+00:00,2.2,,,
681,2006-01-01 09:00:00+00:00,2.7,,,
682,2006-01-01 10:00:00+00:00,2.8,,,
683,2006-01-01 11:00:00+00:00,3.8,,,
684,2006-01-01 12:00:00+00:00,4.9,,,
685,2006-01-01 13:00:00+00:00,6.2,,,
686,2006-01-01 14:00:00+00:00,7.4,,,
687,2006-01-01 15:00:00+00:00,7.0,,,
688,2006-01-01 16:00:00+00:00,6.0,,,
689,2006-01-01 17:00:00+00:00,5.9,,,
690,2006-01-01 18:00:00+00:00,5.0,,,
691,2006-01-01 19:00:00+00:00,5.5,,,
692,2006-01-01 20:00:00+00:00,6.0,,,
693,2006-01-01 21:00:00+00:00,4.9,,,
694,2006-01-01 22:00:00+00:00,5.5,,,
695,2006-01-01 23:00:00+00:00,5.4,,,
936,2006-01-02 00:00:00+00:00,5.4,,,
937,2006-01-02 01:00:00+00:00,2.4,,,
938,2006-01-02 02:00:00+00:00,5.4,,,
939,2006-01-02 03:00:00+00:00,5.9,,,
940,2006-01-02 04:00:00+00:00,6.0,,,
941,2006-01-02 05:00:00+00:00,6.0,,,
942,2006-01-02 06:00:00+00:00,6.0,,,
943,2006-01-02 07:00:00+00:00,6.7,,,
944,2006-01-02 08:00:00+00:00,5.9,,,
945,2006-01-02 09:00:00+00:00,6.9,,,
946,2006-01-02 10:00:00+00:00,6.9,,,
947,2006-01-02 11:00:00+00:00,7.5,,,
948,2006-01-02 12:00:00+00:00,7.0,,,
949,2006-01-02 13:00:00+00:00,7.0,,,
950,2006-01-02 14:00:00+00:00,7.0,,,
951,2006-01-02 15:00:00+00:00,7.0,,,
952,2006-01-02 16:00:00+00:00,6.5,,,
953,2006-01-02 17:00:00+00:00,5.9,,,
954,2006-01-02 18:00:00+00:00,4.9,,,
955,2006-01-02 19:00:00+00:00,3.9,,,
956,2006-01-02 20:00:00+00:00,2.9,,,
957,2006-01-02 21:00:00+00:00,2.8,,,
958,2006-01-02 22:00:00+00:00,2.3,,,
959,2006-01-02 23:00:00+00:00,1.7,,,
1200,2006-01-03 00:00:00+00:00,1.7,,,
1201,2006-01-03 01:00:00+00:00,1.7,,,
1202,2006-01-03 02:00:00+00:00,1.7,,,
1203,2006-01-03 03:00:00+00:00,1.7,,,
1204,2006-01-03 04:00:00+00:00,1.7,,,
1205,2006-01-03 05:00:00+00:00,2.2,,,
1206,2006-01-03 06:00:00+00:00,2.2,,,
1207,2006-01-03 07:00:00+00:00,2.2,,,
1208,2006-01-03 08:00:00+00:00,2.2,,,
1209,2006-01-03 09:00:00+00:00,2.2,,,
1210,2006-01-03 10:00:00+00:00,2.8,,,
1211,2006-01-03 11:00:00+00:00,2.8,,,
1212,2006-01-03 12:00:00+00:00,2.9,,,
1213,2006-01-03 13:00:00+00:00,2.9,,,
1214,2006-01-03 14:00:00+00:00,2.9,,,
1215,2006-01-03 15:00:00+00:00,2.8,,,
1216,2006-01-03 16:00:00+00:00,2.8,,,
1217,2006-01-03 17:00:00+00:00,2.8,,,
1218,2006-01-03 18:00:00+00:00,2.2,,,
1219,2006-01-03 19:00:00+00:00,2.4,,,
1220,2006-01-03 20:00:00+00:00,2.2,,,
1221,2006-01-03 21:00:00+00:00,2.2,,,
1222,2006-01-03 22:00:00+00:00,2.3,,,
1223,2006-01-03 23:00:00+00:00,2.2,,,
1272,2006-01-04 00:00:00+00:00,2.2,,,
1273,2006-01-04 01:00:00+00:00,1.7,,,
1274,2006-01-04 02:00:00+00:00,1.7,,,
1275,2006-01-04 03:00:00+00:00,1.7,,,
1276,2006-01-04 04:00:00+00:00,1.7,,,
1277,2006-01-04 05:00:00+00:00,2.2,,,
1278,2006-01-04 06:00:00+00:00,2.2,,,
1279,2006-01-04 07:00:00+00:00,2.1,,,
1280,2006-01-04 08:00:00+00:00,2.2,,,
1281,2006-01-04 09:00:00+00:00,2.2,,,
1282,2006-01-04 10:00:00+00:00,2.3,,,
1283,2006-01-04 11:00:00+00:00,2.3,,,
1284,2006-01-04 12:00:00+00:00,2.8,,,
1285,2006-01-04 13:00:00+00:00,2.3,,,
1286,2006-01-04 14:00:00+00:00,2.3,,,
1287,2006-01-04 15:00:00+00:00,2.8,,,
1288,2006-01-04 16:00:00+00:00,2.8,,,
1289,2006-01-04 17:00:00+00:00,2.8,,,
1290,2006-01-04 18:00:00+00:00,2.8,,,
1291,2006-01-04 19:00:00+00:00,2.7,,,
1292,2006-01-04 20:00:00+00:00,2.7,,,
1293,2006-01-04 21:00:00+00:00,2.2,,,
1294,2006-01-04 22:00:00+00:00,2.2,,,
1295,2006-01-04 23:00:00+00:00,1.7,,,
1296,2006-01-05 00:00:00+00:00,1.7,,,
1297,2006-01-05 01:00:00+00:00,2.6,,,
1298,2006-01-05 02:00:00+00:00,1.7,,,
1299,2006-01-05 03:00:00+00:00,1.2,,,
1300,2006-01-05 04:00:00+00:00,1.2,,,
1301,2006-01-05 05:00:00+00:00,1.2,,,
1302,2006-01-05 06:00:00+00:00,1.2,,,
1303,2006-01-05 07:00:00+00:00,2.1,,,
1304,2006-01-05 08:00:00+00:00,2.2,,,
1305,2006-01-05 09:00:00+00:00,2.2,,,
1306,2006-01-05 10:00:00+00:00,2.7,,,
1307,2006-01-05 11:00:00+00:00,2.8,,,
1308,2006-01-05 12:00:00+00:00,3.8,,,
1309,2006-01-05 13:00:00+00:00,3.8,,,
1310,2006-01-05 14:00:00+00:00,3.9,,,
1311,2006-01-05 15:00:00+00:00,3.9,,,
1312,2006-01-05 16:00:00+00:00,3.9,,,
1313,2006-01-05 17:00:00+00:00,3.9,,,
1314,2006-01-05 18:00:00+00:00,3.9,,,
1315,2006-01-05 19:00:00+00:00,3.8,,,
1316,2006-01-05 20:00:00+00:00,2.8,,,
1317,2006-01-05 21:00:00+00:00,3.3,,,
1318,2006-01-05 22:00:00+00:00,2.7,,,
1319,2006-01-05 23:00:00+00:00,2.3,,,
1320,2006-01-06 00:00:00+00:00,1.8,,,
1321,2006-01-06 01:00:00+00:00,2.3,,,
1322,2006-01-06 02:00:00+00:00,2.8,,,
1323,2006-01-06 03:00:00+00:00,2.8,,,
1324,2006-01-06 04:00:00+00:00,2.8,,,
1325,2006-01-06 05:00:00+00:00,2.8,,,
1326,2006-01-06 06:00:00+00:00,2.8,,,
1327,2006-01-06 07:00:00+00:00,2.8,,,
1328,2006-01-06 08:00:00+00:00,2.7,,,
1329,2006-01-06 09:00:00+00:00,2.7,,,
1330,2006-01-06 10:00:00+00:00,2.7,,,
1331,2006-01-06 11:00:00+00:00,2.3,,,
1332,2006-01-06 12:00:00+00:00,2.3,,,
1333,2006-01-06 13:00:00+00:00,2.3,,,
1334,2006-01-06 14:00:00+00:00,2.8,,,
1335,2006-01-06 15:00:00+00:00,2.8,,,
1336,2006-01-06 16:00:00+00:00,2.3,,,
1337,2006-01-06 17:00:00+00:00,2.2,,,
1338,2006-01-06 18:00:00+00:00,2.2,,,
1339,2006-01-06 19:00:00+00:00,2.3,,,
1340,2006-01-06 20:00:00+00:00,2.2,,,
1341,2006-01-06 21:00:00+00:00,2.2,,,
1342,2006-01-06 22:00:00+00:00,2.7,,,
1343,2006-01-06 23:00:00+00:00,2.7,,,
1344,2006-01-07 00:00:00+00:00,2.7,,,
1345,2006-01-07 01:00:00+00:00,0.3,,,
1346,2006-01-07 02:00:00+00:00,1.6,,,
1347,2006-01-07 03:00:00+00:00,0.5,,,
1348,2006-01-07 04:00:00+00:00,1.2,,,
1349,2006-01-07 05:00:00+00:00,1.1,,,
1350,2006-01-07 06:00:00+00:00,1.1,,,
1351,2006-01-07 07:00:00+00:00,1.1,,,
1352,2006-01-07 08:00:00+00:00,2.1,,,
1353,2006-01-07 09:00:00+00:00,1.2,,,
1354,2006-01-07 10:00:00+00:00,1.2,,,
1355,2006-01-07 11:00:00+00:00,2.2,,,
1356,2006-01-07 12:00:00+00:00,2.2,,,
1357,2006-01-07 13:00:00+00:00,2.2,,,
1358,2006-01-07 14:00:00+00:00,2.3,,,
1359,2006-01-07 15:00:00+00:00,1.7,,,
1360,2006-01-07 16:00:00+00:00,1.2,,,
1361,2006-01-07 17:00:00+00:00,0.1,,,
1362,2006-01-07 18:00:00+00:00,0.1,,,
1363,2006-01-07 19:00:00+00:00,-0.7,,,
1364,2006-01-07 20:00:00+00:00,-1.0,,,
1365,2006-01-07 21:00:00+00:00,-0.5,,,
1366,2006-01-07 22:00:00+00:00,0.0,,,
1367,2006-01-07 23:00:00+00:00,0.0,,,
1368,2006-01-08 00:00:00+00:00,0.0,,,
1369,2006-01-08 01:00:00+00:00,-4.1,,,
1370,2006-01-08 02:00:00+00:00,-0.7,,,
1371,2006-01-08 03:00:00+00:00,-1.2,,,
1372,2006-01-08 04:00:00+00:00,-2.0,,,
1373,2006-01-08 05:00:00+00:00,-2.9,,,
1374,2006-01-08 06:00:00+00:00,-2.8,,,
1375,2006-01-08 07:00:00+00:00,-3.5,,,
